target,repeat,ic_efe_threshold,ic_div_threshold,num_replanning,trial_steps,timesteps_inside_target,computation_time,unfinished
9,2,,50.0,25,101,78,26.00797200202942,False
11,9,,20.0,58,101,63,36.02666664123535,False
1,8,1.0,70.0,80,101,79,49.37259483337402,False
0,8,,70.0,25,101,73,29.03257727622986,False
4,8,1.0,10.0,91,101,81,52.45404601097107,False
11,7,,60.0,32,101,60,26.795777082443237,False
7,4,1.0,,71,101,78,46.320682764053345,False
1,3,1.0,40.0,86,101,79,50.40956974029541,False
1,5,1.0,30.0,73,101,76,46.8428852558136,False
3,6,,50.0,36,101,80,27.86846923828125,False
5,8,,,100,101,72,49.754677534103394,False
4,0,1.0,10.0,95,101,79,53.62196493148804,False
4,2,1.0,40.0,89,101,80,51.448657512664795,False
3,7,1.0,70.0,72,101,86,51.53146433830261,False
2,6,,10.0,65,101,89,37.98799467086792,False
2,3,,30.0,42,101,85,30.600440502166748,False
1,2,,20.0,53,101,81,34.01676869392395,False
9,0,1.0,20.0,80,101,87,48.833258390426636,False
2,2,,20.0,56,101,85,35.098116874694824,False
2,7,1.0,50.0,81,101,83,49.06254291534424,False
4,2,,10.0,76,101,77,41.806230783462524,False
4,1,,10.0,69,101,81,39.35936522483826,False
11,8,1.0,10.0,95,101,63,54.01729154586792,False
7,3,1.0,50.0,80,101,80,48.83723974227905,False
8,6,,40.0,36,101,85,28.666672706604004,False
11,5,1.0,30.0,75,101,72,47.60751676559448,False
10,2,,30.0,48,101,73,32.71141338348389,False
6,3,1.0,60.0,82,101,71,49.93187737464905,False
10,3,1.0,20.0,82,101,79,49.752917766571045,False
7,0,,70.0,31,101,66,26.731507539749146,False
11,3,,40.0,31,101,72,25.79127597808838,False
7,3,1.0,30.0,87,101,79,51.88699269294739,False
0,8,1.0,50.0,68,101,67,44.3521568775177,False
9,3,,10.0,62,101,85,36.93596124649048,False
8,2,,60.0,27,101,79,28.657220363616943,False
10,5,1.0,,61,101,75,41.36185312271118,False
8,9,1.0,30.0,85,101,80,51.29707646369934,False
5,4,1.0,30.0,83,101,73,50.39188861846924,False
8,3,1.0,30.0,87,101,83,51.676433801651,False
1,1,1.0,40.0,86,101,76,50.392239809036255,False
4,8,1.0,20.0,77,101,81,47.99183988571167,False
3,7,1.0,20.0,81,101,87,49.316407918930054,False
1,0,1.0,70.0,77,101,78,48.21878981590271,False
1,6,1.0,20.0,91,101,74,52.671087980270386,False
0,7,,20.0,44,101,76,30.9013454914093,False
0,7,,50.0,32,101,75,26.487491846084595,False
1,6,1.0,30.0,89,101,74,52.42076373100281,False
10,3,,,100,101,63,49.82408142089844,False
5,3,,20.0,53,101,70,34.19954442977905,False
5,9,,,100,101,75,49.99069142341614,False
9,3,1.0,50.0,69,101,83,45.13913559913635,False
11,8,,10.0,66,101,70,38.48175048828125,False
1,1,1.0,,56,101,81,39.28753399848938,False
10,8,,10.0,66,101,62,38.39316487312317,False
8,7,1.0,30.0,83,101,82,50.52341079711914,False
1,7,,30.0,38,101,75,29.261665105819702,False
8,0,,60.0,32,101,87,26.67252516746521,False
7,8,,10.0,64,101,69,37.6451690196991,False
4,8,,40.0,28,101,83,25.888349056243896,False
4,5,1.0,30.0,79,101,80,48.90851807594299,False
8,0,1.0,40.0,85,101,87,50.16331720352173,False
2,2,,10.0,66,101,84,38.32328248023987,False
2,7,1.0,30.0,84,101,83,50.55760192871094,False
7,6,,10.0,72,101,70,40.50472450256348,False
11,8,,20.0,45,101,59,31.47767186164856,False
0,3,,10.0,62,101,75,36.81957221031189,False
5,5,,20.0,55,101,69,34.92386341094971,False
6,9,1.0,40.0,81,101,70,49.31755995750427,False
4,5,1.0,,56,101,75,39.51038122177124,False
6,3,1.0,10.0,91,101,68,52.382044076919556,False
0,4,,20.0,44,101,71,30.91075086593628,False
10,0,1.0,20.0,88,101,80,51.83966684341431,False
10,0,1.0,70.0,75,101,71,47.66057586669922,False
2,6,1.0,10.0,96,101,87,54.146764039993286,False
6,6,1.0,70.0,80,101,69,49.370741844177246,False
6,9,1.0,60.0,81,101,70,49.563687801361084,False
3,6,,30.0,36,101,85,28.54105567932129,False
5,6,,50.0,44,101,72,30.60611343383789,False
3,8,,,100,101,87,49.91778111457825,False
10,0,1.0,60.0,75,101,71,47.17058873176575,False
10,3,,70.0,24,101,74,24.426422119140625,False
2,5,1.0,50.0,78,101,87,47.930832386016846,False
9,9,,10.0,66,101,83,38.45409274101257,False
6,0,,20.0,44,101,66,30.921062707901,False
7,9,1.0,50.0,89,101,68,52.074896812438965,False
2,3,1.0,70.0,77,101,87,48.14833664894104,False
8,8,1.0,60.0,76,101,81,47.590527057647705,False
8,4,,60.0,28,101,87,25.48649501800537,False
8,0,,10.0,75,101,84,41.39877271652222,False
5,0,1.0,40.0,83,101,70,49.88597536087036,False
2,0,,10.0,70,101,81,39.61351203918457,False
7,7,1.0,,57,101,68,39.959474086761475,False
9,6,,30.0,49,101,78,33.09896421432495,False
6,2,1.0,50.0,82,101,65,49.44773983955383,False
8,4,1.0,,75,101,79,46.227155923843384,False
11,2,1.0,60.0,78,101,69,48.6251003742218,False
7,5,,10.0,66,101,77,38.39813184738159,False
11,3,,30.0,54,101,71,34.78023910522461,False
11,1,,60.0,24,101,70,24.028743267059326,False
10,9,1.0,40.0,84,101,76,49.766974449157715,False
5,8,1.0,60.0,79,101,72,48.66535234451294,False
11,6,,,100,101,63,49.722228050231934,False
4,8,1.0,60.0,80,101,71,49.247395277023315,False
4,9,1.0,50.0,77,101,76,47.84363102912903,False
3,6,,70.0,29,101,83,26.199830532073975,False
1,3,1.0,70.0,84,101,79,50.67451333999634,False
9,5,1.0,30.0,84,101,79,50.85370230674744,False
6,2,1.0,,67,101,63,43.375959396362305,False
7,3,,60.0,41,101,70,29.940671920776367,False
1,9,,10.0,54,101,79,34.087109088897705,False
